workout_id,workout_name,start_time,end_time,duration_mins,nth_workout,estimated_volume_kg,exercise_count,exercises_performed
Workout_174,Chest,2025-09-28 02:00:10,2025-09-28 02:52:29,52.31666666666667,174,7412.5,8,"Warm Up, Bench Press (Dumbbell), Incline Bench Press (Dumbbell), Bench Press (Barbell), Chest Fly (Machine), Triceps Pushdown, Triceps Extension (Dumbbell), Treadmill"
Workout_175,Legs,2025-09-30 01:28:41,2025-09-30 02:20:02,51.35,175,9725.0,7,"Warm Up, Leg Press (Machine), Lunge (Dumbbell), Leg Extension (Machine), Lying Leg Curl (Machine), Seated Calf Raise, Elliptical Trainer"
Workout_176,Chest,2025-10-01 01:38:31,2025-10-01 02:40:52,62.35,176,9225.0,9,"Warm Up, Bench Press (Barbell), Incline Bench Press (Barbell), Incline Bench Press (Dumbbell), Chest Fly (Dumbbell), Chest Fly (Machine), Triceps Pushdown, Overhead Triceps Extension (Cable), Elliptical Trainer"
Workout_177,Shoulders,2025-10-02 01:47:56,2025-10-02 02:21:48,33.86666666666667,177,6160.0,6,"Warm Up, Overhead Press (Dumbbell), Lateral Raise (Dumbbell), Face Pull, Upright Row (Barbell), Shrug (Dumbbell)"
Workout_178,Back,2025-10-04 02:16:19,2025-10-04 03:27:55,71.6,178,7392.5,9,"Warm Up, T Bar Row, Lat Pulldown (Cable), Back Extension (Weighted Hyperextension), Iso-Lateral Low Row, Seated Row (Machine), Pull Up (Assisted), Bicep Curl (Dumbbell), Bicep Curl (Barbell)"
Workout_179,Morning workout ☀️,2025-10-05 02:04:49,2025-10-05 02:30:07,25.3,179,0.0,2,"Warm Up, Treadmill"
Workout_180,Legs,2025-10-06 02:07:33,2025-10-06 03:10:44,63.18333333333333,180,2220.0,5,"Elliptical Trainer, Treadmill, Squat (Bodyweight), Sumo Squat (Dumbbell), Leg Extension (Machine)"
Workout_181,Chest,2025-10-07 01:58:20,2025-10-07 03:00:09,61.81666666666667,181,7005.0,9,"Warm Up, Push Up, Bench Press (Dumbbell), Chest Fly (Machine), Chest Press (Machine), Triceps Pushdown, Triceps Extension (Dumbbell), Rowing Machine, Elliptical Trainer"
Workout_182,Shoulder,2025-10-08 01:55:41,2025-10-08 02:58:21,62.666666666666664,182,6130.0,9,"Warm Up, Overhead Press (Barbell), Lateral Raise (Dumbbell), Rear Delt Reverse Fly (Machine), Overhead Press (Dumbbell), Shrug (Dumbbell), Rowing Machine, Spinning, Treadmill"
Workout_183,Back,2025-10-11 01:37:28,2025-10-11 02:49:39,72.18333333333334,183,6540.5,8,"Warm Up, Treadmill, Lat Pulldown (Cable), Seated Cable Row - V Grip (Cable), Reverse Grip Lat Pulldown (Cable), Pull Up (Assisted), Bicep Curl (Dumbbell), Elliptical Trainer"
Workout_184,Legs,2025-10-12 01:58:34,2025-10-12 03:07:20,68.76666666666667,184,6740.0,7,"Warm Up, Squat (Bodyweight), Lunge (Dumbbell), Leg Extension (Machine), Leg Press (Machine), Seated Calf Raise, Treadmill"
Workout_185,Chest,2025-10-13 01:59:20,2025-10-13 03:17:46,78.43333333333334,185,8641.0,9,"Warm Up, Bench Press (Barbell), Bench Press (Dumbbell), Chest Fly (Machine), Chest Press (Machine), Triceps Rope Pushdown, Triceps Extension (Dumbbell), Treadmill, Elliptical Trainer"
Workout_186,Shoulder,2025-10-15 01:33:24,2025-10-15 02:31:02,57.63333333333333,186,7247.0,8,"Warm Up, Overhead Press (Barbell), Lateral Raise (Dumbbell), Rear Delt Reverse Fly (Machine), Overhead Press (Dumbbell), Shrug (Dumbbell), Treadmill, Elliptical Trainer"
Workout_187,Back,2025-10-16 09:33:00,2025-10-16 10:55:30,82.5,187,6553.0,7,"Warm Up, Lat Pulldown (Cable), Seated Cable Row - V Grip (Cable), Dumbbell Row, Rear Delt Reverse Fly (Machine), Treadmill, Spinning"
Workout_188,Legs,2025-10-18 02:03:41,2025-10-18 02:52:40,48.983333333333334,188,8265.0,8,"Warm Up, Leg Press (Machine), Leg Extension (Machine), Seated Leg Curl (Machine), Squat (Bodyweight), Seated Calf Raise, Lunge (Dumbbell), Treadmill"
Workout_189,Chest,2025-10-19 02:04:35,2025-10-19 03:14:30,69.91666666666667,189,7170.0,10,"Warm Up, Push Up, Chest Fly (Machine), Chest Press (Machine), Incline Bench Press (Dumbbell), Triceps Extension (Dumbbell), Triceps Rope Pushdown, Bench Dip, Treadmill, Elliptical Trainer"
Workout_190,Shoulder,2025-10-20 02:45:55,2025-10-20 03:55:20,69.41666666666667,190,6673.0,8,"Warm Up, Seated Shoulder Press (Machine), Face Pull, Front Raise (Dumbbell), Lateral Raise (Dumbbell), Shrug (Dumbbell), Treadmill, Elliptical Trainer"
Workout_191,Back,2025-10-25 01:50:33,2025-10-25 03:05:34,75.01666666666667,191,6210.0,8,"Warm Up, Lat Pulldown (Cable), Dumbbell Row, Seated Cable Row - V Grip (Cable), Hammer Curl (Dumbbell), Preacher Curl (Barbell), Treadmill, Elliptical Trainer"
Workout_192,Legs,2025-10-26 04:04:10,2025-10-26 04:57:40,53.5,192,9350.0,7,"Warm Up, Leg Press (Machine), Leg Extension (Machine), Seated Leg Curl (Machine), Walking Lunge (Dumbbell), Seated Calf Raise, Treadmill"
Workout_193,Chest,2025-10-27 02:14:49,2025-10-27 03:40:12,85.38333333333334,193,7879.0,10,"Warm Up, Push Up, Chest Press (Machine), Chest Fly (Machine), Bench Press (Barbell), Cable Fly Crossovers, Triceps Extension (Dumbbell), Triceps Rope Pushdown, Treadmill, Elliptical Trainer"
Workout_194,Shoulder,2025-10-31 04:38:04,2025-10-31 05:21:37,43.55,194,5057.0,7,"Warm Up, Shoulder Press (Machine Plates), Lateral Raise (Dumbbell), Face Pull, Front Raise (Dumbbell), Shrug (Dumbbell), Treadmill"
Workout_195,Back,2025-11-01 02:13:29,2025-11-01 03:22:23,68.9,195,8280.5,8,"Warm Up, Lat Pulldown (Cable), Seated Cable Row - V Grip (Cable), Rear Delt Reverse Fly (Machine), Dumbbell Row, Bicep Curl (Cable), Seated Incline Curl (Dumbbell), Hammer Curl (Dumbbell)"
Workout_196,Legs,2025-11-02 02:01:23,2025-11-02 02:57:14,55.85,196,9040.0,7,"Warm Up, Leg Press (Machine), Leg Extension (Machine), Seated Leg Curl (Machine), Walking Lunge (Dumbbell), Seated Calf Raise, Treadmill"
Workout_197,Chest,2025-11-03 02:52:10,2025-11-03 03:38:12,46.03333333333333,197,6184.0,6,"Warm Up, Bench Press (Dumbbell), Chest Fly (Machine), Incline Bench Press (Dumbbell), Triceps Extension (Dumbbell), Triceps Rope Pushdown"
Workout_198,Shoulder,2025-11-04 02:06:15,2025-11-04 03:07:35,61.333333333333336,198,6176.0,8,"Warm Up, Lateral Raise (Dumbbell), Seated Shoulder Press (Machine), Front Raise (Dumbbell), Face Pull, Shrug (Dumbbell), Treadmill, Elliptical Trainer"
Workout_199,Back,2025-11-05 03:00:29,2025-11-05 04:22:55,82.43333333333334,199,9022.0,9,"Warm Up, Lat Pulldown (Cable), Seated Cable Row - V Grip (Cable), Rear Delt Reverse Fly (Machine), Dumbbell Row, Bicep Curl (Cable), Bicep Curl (Dumbbell), Treadmill, Elliptical Trainer"
Workout_200,Legs,2025-11-08 02:46:18,2025-11-08 04:07:28,81.16666666666667,200,9315.0,8,"Warm Up, Spinning, Leg Extension (Machine), Seated Leg Curl (Machine), Leg Press (Machine), Walking Lunge (Dumbbell), Seated Calf Raise, Treadmill"
Workout_201,Chest,2025-11-09 03:11:32,2025-11-09 04:43:30,91.96666666666668,201,7580.5,9,"Warm Up, Bench Press (Dumbbell), Chest Fly (Machine), Incline Bench Press (Dumbbell), Cable Fly Crossovers, Triceps Extension (Dumbbell), Triceps Pushdown, Treadmill, Spinning"
Workout_202,Shoulder,2025-11-10 02:23:13,2025-11-10 03:45:03,81.83333333333333,202,7040.0,9,"Warm Up, Seated Shoulder Press (Machine), Front Raise (Barbell), Lateral Raise (Dumbbell), Face Pull, Shoulder Press (Dumbbell), Shrug (Dumbbell), Treadmill, Elliptical Trainer"
Workout_203,Back,2025-11-12 02:53:44,2025-11-12 04:42:08,108.4,203,7108.0,11,"Warm Up, Bent Over Row (Dumbbell), Seated Cable Row - V Grip (Cable), Lat Pulldown (Cable), Back Extension (Hyperextension), Bicep Curl (Barbell), Hammer Curl (Dumbbell), Preacher Curl (Dumbbell), Reverse Curl (Cable), Treadmill, Elliptical Trainer"
Workout_204,Legs,2025-11-13 09:57:37,2025-11-13 10:58:49,61.2,204,9498.0,8,"Warm Up, Leg Extension (Machine), Seated Leg Curl (Machine), Leg Press (Machine), Walking Lunge (Dumbbell), Seated Calf Raise, Crunch, Plank"
